previous_crop,crop,soil_type,temperature,humidity,yield,market_price,nitrogen,phosphorus,potassium,ph
sugarcane,maize,low_nitrogen,29.8,47,5.78,1942,67,52,36,7.0
rice,groundnut,low_nitrogen,22.6,49,3.44,5905,69,55,23,5.9
rice,tomato,high_nitrogen,20.1,60,14.73,1239,65,58,26,6.9
groundnut,potato,balanced,30.6,75,10.46,1208,73,59,21,5.6
rice,maize,low_nitrogen,27.3,63,6.11,1625,68,51,56,5.9
cotton,maize,balanced,32.4,40,6.56,1637,40,47,21,7.2
tomato,rice,high_nitrogen,23.2,42,4.93,2213,62,39,20,7.2
sugarcane,groundnut,low_nitrogen,24.9,43,3.47,5811,69,34,34,6.6
potato,tomato,low_nitrogen,31.8,68,15.16,1510,44,28,41,6.3
groundnut,sugarcane,high_nitrogen,30.9,76,29.72,483,70,59,25,6.7
rice,maize,balanced,24.4,48,6.21,2199,67,23,60,5.9
sugarcane,tomato,low_nitrogen,25.2,44,15.15,1495,62,27,20,6.0
rice,groundnut,low_nitrogen,29.9,46,3.53,5369,54,26,36,6.9
tomato,groundnut,low_nitrogen,24.3,62,3.34,5447,60,28,39,6.9
maize,groundnut,low_nitrogen,33.5,85,3.58,5801,62,40,55,5.8
rice,cotton,balanced,25.1,46,4.35,7079,59,41,33,5.7
rice,tomato,balanced,31.5,73,15.62,1517,64,41,51,6.1
cotton,tomato,balanced,26.1,64,15.32,1641,38,59,53,7.1
groundnut,sugarcane,low_nitrogen,31.0,48,29.82,452,81,52,37,6.1
potato,maize,balanced,34.1,84,6.65,1494,63,56,44,7.3
tomato,groundnut,low_nitrogen,23.5,61,3.34,5439,48,26,22,5.5
tomato,tomato,balanced,33.4,45,15.33,1845,52,60,40,7.1
wheat,groundnut,low_nitrogen,32.7,89,3.56,5913,65,40,59,7.1
maize,rice,high_nitrogen,21.0,52,4.9,2313,47,35,48,7.3
tomato,groundnut,low_nitrogen,25.3,79,3.7,5810,63,54,54,6.8
wheat,maize,high_nitrogen,24.9,62,5.81,1710,51,54,34,5.8
sugarcane,potato,low_nitrogen,25.7,70,10.2,997,63,20,49,5.5
tomato,rice,high_nitrogen,27.8,62,4.91,2221,47,49,22,5.6
cotton,wheat,balanced,23.3,43,4.79,2785,33,60,37,7.4
tomato,wheat,balanced,27.3,43,4.81,2615,43,49,59,6.1
maize,maize,high_nitrogen,26.3,46,6.17,1852,66,45,41,5.9
maize,rice,high_nitrogen,21.7,82,4.74,1860,41,45,27,6.7
rice,maize,balanced,27.4,90,6.35,1878,66,59,56,6.6
rice,potato,low_nitrogen,27.9,82,10.14,1195,47,53,53,6.5
wheat,maize,high_nitrogen,34.1,64,6.1,1938,62,29,25,7.0
cotton,maize,high_nitrogen,22.8,84,6.12,1552,21,37,47,7.2
tomato,rice,high_nitrogen,22.9,54,4.82,2014,70,57,33,5.8
tomato,wheat,low_nitrogen,34.2,79,4.78,2013,44,44,56,7.4
potato,cotton,balanced,31.7,70,4.54,6341,52,30,38,7.4
wheat,maize,low_nitrogen,23.6,66,5.94,1445,54,60,36,7.3
potato,sugarcane,low_nitrogen,26.3,47,29.95,586,48,34,46,6.6
maize,potato,low_nitrogen,25.6,65,9.73,1568,58,58,41,6.0
wheat,maize,balanced,32.2,41,6.66,1723,59,47,26,6.4
groundnut,sugarcane,low_nitrogen,33.9,45,29.76,200,86,49,30,5.8
maize,sugarcane,high_nitrogen,33.3,52,30.18,489,69,21,22,5.8
groundnut,potato,low_nitrogen,28.8,73,9.85,1231,73,48,34,5.7
potato,wheat,high_nitrogen,22.7,87,4.26,2553,49,41,28,6.5
cotton,maize,low_nitrogen,32.3,83,6.29,1498,30,45,21,6.0
cotton,potato,low_nitrogen,21.5,89,10.24,1368,21,39,44,6.0
tomato,tomato,low_nitrogen,29.6,53,15.03,1440,40,24,34,7.4
cotton,maize,low_nitrogen,34.1,65,6.27,2188,40,35,24,6.7
maize,maize,high_nitrogen,25.4,77,6.02,1681,50,21,59,6.3
sugarcane,tomato,balanced,31.9,88,15.36,1683,63,27,27,6.4
wheat,maize,low_nitrogen,33.3,40,6.01,1851,60,20,43,5.8
maize,tomato,balanced,28.3,84,15.69,1596,59,37,40,5.7
groundnut,potato,low_nitrogen,34.0,86,9.92,854,78,31,43,7.1
wheat,tomato,high_nitrogen,21.1,73,15.03,1252,57,45,40,6.3
sugarcane,sugarcane,balanced,24.6,42,30.44,200,57,58,20,7.2
maize,maize,high_nitrogen,32.4,59,5.93,1763,50,56,28,6.1
rice,tomato,low_nitrogen,20.6,66,15.16,1559,57,22,60,5.7
cotton,tomato,high_nitrogen,21.4,63,15.29,1323,31,31,34,6.0
sugarcane,groundnut,low_nitrogen,21.9,87,3.23,5636,42,33,48,6.1
sugarcane,maize,low_nitrogen,34.3,85,5.92,1918,69,37,23,6.7
rice,tomato,low_nitrogen,25.1,58,14.93,1815,54,48,54,7.1
rice,wheat,low_nitrogen,26.8,46,4.23,2557,44,31,59,5.7
wheat,tomato,low_nitrogen,32.8,78,14.71,1517,51,31,53,6.2
potato,rice,high_nitrogen,31.5,43,4.71,1865,47,43,44,7.4
maize,maize,low_nitrogen,26.7,43,5.71,2194,53,52,28,6.4
tomato,potato,low_nitrogen,33.8,48,9.95,1589,57,41,27,5.9
rice,tomato,high_nitrogen,25.9,82,14.87,1328,62,30,59,6.2
tomato,sugarcane,low_nitrogen,24.7,90,29.77,464,59,42,42,5.6
sugarcane,potato,high_nitrogen,32.5,67,9.71,811,41,29,24,5.7
sugarcane,maize,balanced,26.6,52,6.79,1551,56,47,31,7.2
cotton,tomato,high_nitrogen,24.1,80,14.96,1421,26,23,43,6.6
cotton,wheat,low_nitrogen,30.2,55,4.69,2375,40,29,54,6.9
rice,sugarcane,high_nitrogen,22.3,81,30.26,365,43,42,53,7.1
potato,cotton,low_nitrogen,25.3,71,3.77,6653,59,37,29,6.4
cotton,tomato,low_nitrogen,31.7,53,15.28,1384,21,58,37,5.9
wheat,potato,low_nitrogen,34.7,40,9.79,1547,65,54,20,6.2
tomato,potato,low_nitrogen,25.7,65,9.71,816,54,45,41,6.2
tomato,sugarcane,balanced,23.0,70,30.23,252,68,28,55,5.6
groundnut,cotton,low_nitrogen,34.8,84,3.97,6950,82,31,57,6.8
tomato,potato,low_nitrogen,22.8,58,9.73,954,48,37,27,6.0
sugarcane,potato,low_nitrogen,28.8,70,10.25,806,44,51,45,7.5
tomato,sugarcane,low_nitrogen,34.8,66,30.0,497,59,48,59,6.9
maize,tomato,high_nitrogen,27.5,70,15.17,1375,44,59,32,6.0
maize,cotton,balanced,31.3,42,4.35,6921,50,33,57,7.1
maize,rice,low_nitrogen,24.1,58,4.46,1883,44,28,36,5.8
potato,wheat,balanced,21.1,49,5.25,2412,49,28,44,6.9
sugarcane,potato,low_nitrogen,33.7,60,9.72,1141,43,35,33,6.3
groundnut,sugarcane,high_nitrogen,22.1,78,29.78,689,60,44,56,6.0
maize,maize,low_nitrogen,33.7,53,5.86,2041,65,45,53,7.3
groundnut,tomato,low_nitrogen,30.3,80,15.06,1891,61,57,21,6.4
potato,potato,low_nitrogen,34.4,42,9.86,1165,46,22,60,7.3
cotton,cotton,low_nitrogen,26.1,67,4.14,6322,26,38,51,7.2
groundnut,wheat,balanced,31.1,57,5.15,2005,80,39,21,6.5
groundnut,wheat,balanced,33.9,59,4.83,2274,79,35,57,7.1
potato,groundnut,balanced,21.0,42,3.91,5354,47,57,38,5.8
groundnut,groundnut,balanced,32.5,57,3.87,5340,69,20,21,6.4
cotton,tomato,high_nitrogen,24.7,69,15.24,1573,23,35,27,5.6
potato,maize,balanced,32.4,75,6.74,1602,60,49,40,6.1
maize,rice,high_nitrogen,20.6,79,5.23,2423,66,25,58,7.2
sugarcane,maize,balanced,31.3,71,6.72,2098,63,21,53,5.8
cotton,groundnut,low_nitrogen,30.0,60,3.41,5668,30,51,24,7.1
wheat,potato,low_nitrogen,34.4,81,10.04,1125,67,33,56,6.2
wheat,cotton,balanced,31.1,52,4.72,6666,45,24,36,5.6
cotton,sugarcane,low_nitrogen,24.6,48,30.27,232,39,39,40,7.5
cotton,cotton,balanced,20.5,82,4.44,6554,40,27,22,5.8
wheat,wheat,balanced,22.4,63,5.22,2336,62,36,28,6.5
rice,groundnut,high_nitrogen,20.9,41,2.77,5386,64,41,21,6.4
sugarcane,tomato,balanced,21.9,90,15.54,1444,65,52,57,6.5
tomato,potato,low_nitrogen,25.3,85,9.92,1253,67,36,40,6.8
maize,potato,balanced,33.2,55,10.67,818,43,44,35,7.4
cotton,cotton,low_nitrogen,28.9,58,4.15,6441,29,27,45,5.9
rice,potato,high_nitrogen,27.7,85,9.75,1545,61,46,35,6.5
wheat,maize,low_nitrogen,26.6,41,5.71,2072,48,33,45,5.7
potato,tomato,balanced,30.6,57,15.62,1274,50,54,35,6.5
wheat,groundnut,balanced,24.8,42,3.75,5641,54,42,23,6.0
wheat,potato,low_nitrogen,21.5,53,9.86,1272,43,31,42,7.1
wheat,rice,high_nitrogen,32.2,48,4.99,1891,56,23,35,7.4
wheat,sugarcane,balanced,31.2,73,30.6,630,51,56,47,6.2
groundnut,potato,balanced,32.0,87,10.58,983,72,33,41,6.6
potato,maize,high_nitrogen,29.6,77,6.24,2122,45,21,32,7.0
groundnut,groundnut,low_nitrogen,26.9,43,3.53,5569,71,29,43,6.2
potato,rice,high_nitrogen,34.8,87,4.86,2557,62,39,43,6.6
sugarcane,wheat,balanced,25.3,43,5.08,2749,40,33,59,6.4
cotton,tomato,low_nitrogen,20.4,75,14.83,1271,37,56,44,6.5
sugarcane,potato,low_nitrogen,25.8,90,9.93,1060,43,36,43,5.5
sugarcane,sugarcane,balanced,20.3,58,30.33,200,65,45,59,5.9
rice,maize,low_nitrogen,32.4,65,5.83,2170,67,25,21,5.5
cotton,cotton,high_nitrogen,25.7,82,4.02,6414,27,39,33,7.3
cotton,groundnut,low_nitrogen,28.7,60,3.74,5394,35,35,34,7.2
potato,sugarcane,balanced,32.7,57,30.78,200,45,52,49,7.0
groundnut,cotton,balanced,30.1,56,4.48,6344,78,27,50,7.4
groundnut,potato,low_nitrogen,25.3,66,10.18,1194,65,45,22,5.6
groundnut,maize,high_nitrogen,31.8,88,5.74,1676,78,60,56,6.9
groundnut,sugarcane,balanced,26.2,79,30.48,200,65,40,53,7.1
rice,groundnut,low_nitrogen,31.4,44,3.4,5688,52,50,24,6.5
maize,rice,high_nitrogen,28.0,47,5.23,2256,41,24,52,7.1
wheat,cotton,balanced,27.8,88,4.24,6393,47,21,41,7.4
groundnut,sugarcane,high_nitrogen,32.3,50,30.24,200,78,33,25,6.0
maize,rice,high_nitrogen,26.6,48,5.15,2264,69,25,44,7.1
potato,wheat,balanced,30.2,46,5.13,2438,57,23,46,7.4
maize,cotton,low_nitrogen,24.9,65,4.0,6679,50,30,28,5.7
cotton,sugarcane,balanced,29.8,86,30.35,280,36,20,20,7.1
cotton,sugarcane,balanced,25.6,80,30.75,478,24,25,35,6.3
potato,rice,high_nitrogen,33.3,78,4.8,2475,64,23,28,6.8
maize,potato,low_nitrogen,35.0,54,9.9,1132,63,40,44,5.9
tomato,tomato,high_nitrogen,22.9,77,14.72,1731,45,41,54,5.5
maize,wheat,low_nitrogen,23.7,85,4.35,2322,65,20,56,6.7
tomato,wheat,balanced,32.9,65,5.2,2549,65,47,60,7.3
tomato,wheat,high_nitrogen,29.5,78,4.64,2027,65,31,59,6.5
cotton,tomato,balanced,21.5,84,15.62,1789,22,30,37,7.3
potato,groundnut,balanced,20.7,87,3.97,6095,56,42,47,7.0
groundnut,tomato,low_nitrogen,23.2,74,15.06,1568,84,59,43,6.1
groundnut,maize,high_nitrogen,31.0,59,5.93,1432,60,42,60,6.2
potato,tomato,high_nitrogen,22.4,56,14.86,1272,54,20,33,6.7
tomato,potato,low_nitrogen,29.5,49,9.72,1284,62,35,35,7.3
sugarcane,rice,high_nitrogen,23.0,59,4.95,2460,59,37,47,6.3
tomato,maize,balanced,23.2,51,6.72,1447,53,27,27,6.5
rice,cotton,balanced,27.2,64,4.34,6396,47,54,24,5.7
sugarcane,rice,high_nitrogen,28.8,78,4.84,1911,54,22,29,6.3
groundnut,groundnut,low_nitrogen,25.4,42,3.4,5934,73,29,43,7.3
maize,potato,low_nitrogen,20.8,65,9.93,1547,62,33,23,5.8
rice,wheat,balanced,20.4,44,4.75,2101,47,26,58,5.6
maize,tomato,high_nitrogen,32.8,59,15.07,1772,65,53,35,5.7
tomato,cotton,low_nitrogen,24.7,71,3.82,6938,61,41,44,5.8
tomato,groundnut,high_nitrogen,24.6,54,3.09,5890,70,60,20,6.9
tomato,cotton,balanced,28.5,84,4.75,6847,69,39,45,6.2
cotton,groundnut,low_nitrogen,20.8,43,3.66,5515,40,58,34,6.6
sugarcane,cotton,balanced,23.4,67,4.36,6845,70,35,51,6.9
tomato,maize,low_nitrogen,25.1,90,5.98,1924,56,32,27,6.8
groundnut,cotton,low_nitrogen,24.8,84,3.85,6933,82,25,51,6.4
groundnut,groundnut,low_nitrogen,31.6,63,3.69,6093,77,31,49,6.4
tomato,sugarcane,high_nitrogen,29.1,76,29.79,604,60,58,48,6.0
sugarcane,groundnut,low_nitrogen,31.6,82,3.3,5383,70,40,56,7.5
tomato,groundnut,low_nitrogen,20.9,78,3.52,5980,50,29,54,6.0
rice,rice,high_nitrogen,25.8,69,4.99,2101,55,25,25,5.7
groundnut,cotton,balanced,20.2,59,4.21,6391,67,23,22,7.4
groundnut,potato,low_nitrogen,20.7,88,10.03,938,63,54,29,7.4
cotton,potato,high_nitrogen,22.7,66,9.79,1257,24,52,53,6.0
maize,maize,low_nitrogen,32.4,87,5.94,2012,48,48,42,5.7
cotton,potato,low_nitrogen,26.1,89,10.3,1201,27,48,56,6.5
wheat,maize,high_nitrogen,22.4,73,6.29,1756,60,28,49,6.7
sugarcane,sugarcane,low_nitrogen,26.7,75,30.01,390,43,28,39,6.2
tomato,potato,low_nitrogen,32.2,47,10.17,961,60,55,56,7.5
groundnut,groundnut,low_nitrogen,32.3,75,3.73,5928,79,57,55,7.2
groundnut,groundnut,low_nitrogen,22.8,55,3.55,5938,73,36,51,6.1
potato,wheat,high_nitrogen,25.3,45,4.49,2020,42,55,48,6.5
maize,tomato,balanced,31.2,63,15.76,1597,57,26,21,7.4
rice,rice,high_nitrogen,33.5,73,4.77,1930,56,37,29,6.4
sugarcane,sugarcane,balanced,34.4,57,30.25,200,44,25,20,6.9
maize,sugarcane,low_nitrogen,29.4,44,30.09,295,69,46,35,5.6
rice,potato,low_nitrogen,24.7,48,9.85,1040,54,39,43,6.9
wheat,rice,high_nitrogen,24.8,89,5.01,2405,66,25,32,5.7
wheat,groundnut,low_nitrogen,28.2,51,3.67,5598,44,34,26,6.7
sugarcane,groundnut,low_nitrogen,20.7,42,3.24,5593,69,60,29,5.6
cotton,sugarcane,balanced,32.3,74,30.74,627,25,31,43,6.2
groundnut,potato,low_nitrogen,27.5,49,10.12,1203,77,25,37,6.2
groundnut,rice,low_nitrogen,29.4,89,4.55,2226,64,56,35,7.4
wheat,sugarcane,balanced,21.6,88,30.33,695,44,25,42,5.7
cotton,sugarcane,balanced,29.8,49,30.74,419,31,59,32,7.2
maize,groundnut,low_nitrogen,29.7,70,3.49,5420,43,55,25,6.6
tomato,groundnut,high_nitrogen,30.7,83,3.24,5901,40,53,37,5.9
rice,groundnut,low_nitrogen,33.7,75,3.44,6025,48,47,48,6.7
sugarcane,cotton,balanced,23.7,43,4.79,6615,58,29,38,6.5
maize,sugarcane,high_nitrogen,27.7,85,30.05,279,57,20,52,6.0
cotton,groundnut,low_nitrogen,33.2,66,3.41,5816,40,60,23,6.9
potato,sugarcane,high_nitrogen,33.7,44,30.04,200,46,31,25,5.9
potato,wheat,high_nitrogen,29.7,90,4.71,2192,61,45,28,6.9
maize,groundnut,low_nitrogen,27.5,83,3.62,6081,51,20,45,6.1
tomato,wheat,balanced,27.7,52,5.09,2100,43,53,23,6.7
cotton,wheat,high_nitrogen,32.6,60,4.7,2431,20,28,23,6.2
cotton,cotton,high_nitrogen,32.2,83,4.19,6765,34,26,24,6.6
cotton,cotton,balanced,21.1,78,4.48,6641,24,49,33,5.9
sugarcane,groundnut,low_nitrogen,22.4,43,3.52,6032,65,23,35,6.0
wheat,potato,low_nitrogen,25.2,45,9.8,1151,64,31,59,6.7
tomato,tomato,low_nitrogen,29.9,68,14.79,1310,67,21,31,6.3
groundnut,rice,low_nitrogen,21.4,56,4.31,2522,71,28,44,7.4
cotton,maize,low_nitrogen,24.3,89,5.74,1720,31,28,34,6.3
rice,sugarcane,high_nitrogen,23.1,81,30.11,684,58,56,60,6.6
maize,sugarcane,balanced,20.6,63,30.62,528,66,21,36,6.0
groundnut,wheat,high_nitrogen,22.0,61,4.68,2230,76,47,46,6.6
cotton,groundnut,high_nitrogen,25.0,61,2.99,5817,38,52,41,6.8
potato,potato,low_nitrogen,33.9,65,9.89,862,42,60,54,6.1
wheat,rice,high_nitrogen,25.0,71,5.04,2483,69,20,40,6.8
cotton,tomato,low_nitrogen,29.5,66,14.96,1232,27,50,30,7.0
tomato,sugarcane,low_nitrogen,29.9,47,30.02,506,40,52,44,5.6
potato,groundnut,low_nitrogen,28.9,67,3.64,6011,65,22,50,6.9
sugarcane,potato,low_nitrogen,34.4,71,10.06,1502,62,40,36,7.2
cotton,cotton,balanced,31.0,61,4.23,6606,20,51,54,5.7
maize,rice,high_nitrogen,28.8,71,5.02,2136,42,29,52,5.6
tomato,rice,high_nitrogen,26.9,61,4.87,2416,51,42,56,5.6
groundnut,tomato,low_nitrogen,33.0,79,15.21,1209,72,24,55,6.6
wheat,cotton,balanced,30.0,54,4.28,6375,65,44,39,6.3
sugarcane,groundnut,low_nitrogen,30.1,83,3.29,5706,54,47,47,6.3
sugarcane,potato,low_nitrogen,20.3,60,9.88,1259,49,60,53,6.2
cotton,potato,low_nitrogen,29.1,74,9.78,834,37,55,38,7.1
rice,wheat,balanced,29.2,43,4.72,2284,69,25,54,6.7
wheat,groundnut,low_nitrogen,21.4,45,3.7,5649,56,29,26,6.7
rice,maize,high_nitrogen,32.8,62,5.87,1954,45,40,45,7.2
sugarcane,potato,low_nitrogen,22.8,45,10.04,1574,60,29,29,7.1
potato,potato,low_nitrogen,32.1,70,9.89,1521,67,21,52,7.2
sugarcane,groundnut,low_nitrogen,30.1,45,3.28,5788,49,26,38,5.8
tomato,rice,high_nitrogen,26.3,84,5.0,2156,56,30,51,6.6
rice,cotton,high_nitrogen,33.2,53,4.06,6565,41,59,25,7.5
potato,rice,balanced,33.1,50,5.6,2433,55,30,26,6.4
groundnut,wheat,high_nitrogen,28.1,43,4.46,2405,82,49,43,6.1
rice,rice,low_nitrogen,20.8,51,4.58,1914,62,51,56,6.1
groundnut,wheat,low_nitrogen,26.9,57,4.75,2281,66,23,36,5.8
potato,potato,low_nitrogen,34.2,87,9.84,952,54,45,36,5.8
maize,sugarcane,high_nitrogen,32.6,72,30.08,411,42,44,53,6.7
tomato,maize,low_nitrogen,26.6,56,5.97,1646,52,32,35,7.1
potato,sugarcane,high_nitrogen,33.5,65,29.9,200,57,40,57,5.9
potato,potato,low_nitrogen,25.3,68,9.84,891,67,49,34,7.2
sugarcane,potato,low_nitrogen,25.7,87,10.16,1353,42,38,33,7.3
tomato,wheat,high_nitrogen,27.5,45,4.4,2087,46,34,46,7.2
potato,rice,high_nitrogen,29.4,79,5.25,1841,49,26,38,6.8
tomato,groundnut,low_nitrogen,23.4,49,3.77,5731,49,52,42,5.8
wheat,sugarcane,balanced,28.3,54,30.21,506,64,43,54,5.8
potato,tomato,high_nitrogen,31.1,73,14.76,1265,67,57,22,6.8
wheat,tomato,balanced,24.7,76,15.57,1166,62,59,42,7.0
wheat,maize,balanced,32.1,67,6.47,1752,40,27,37,6.8
groundnut,maize,low_nitrogen,31.4,69,5.98,1463,80,30,20,6.4
groundnut,groundnut,low_nitrogen,22.8,85,3.22,5412,71,59,57,7.4
wheat,maize,high_nitrogen,26.3,40,5.76,1633,61,40,41,7.2
tomato,groundnut,low_nitrogen,30.8,43,3.42,5636,53,53,27,5.7
potato,rice,balanced,20.5,46,5.27,2036,49,47,41,6.3
sugarcane,maize,high_nitrogen,29.1,75,6.11,2147,47,32,42,5.8
tomato,wheat,low_nitrogen,20.4,51,4.52,2032,51,32,29,6.2
sugarcane,groundnut,low_nitrogen,34.6,55,3.32,5873,47,22,41,6.4
wheat,groundnut,high_nitrogen,26.2,62,2.79,5463,70,44,47,6.0
cotton,tomato,low_nitrogen,29.2,88,14.82,1186,36,53,21,6.0
wheat,potato,low_nitrogen,33.1,71,9.97,883,65,20,27,7.4
cotton,sugarcane,low_nitrogen,26.1,80,30.18,395,39,58,45,6.9
tomato,rice,high_nitrogen,26.5,70,4.92,2215,58,21,53,7.3
maize,tomato,balanced,31.1,80,15.75,1274,59,23,47,6.1
cotton,sugarcane,low_nitrogen,33.6,85,30.13,200,30,48,29,6.9
tomato,groundnut,low_nitrogen,33.8,40,3.43,5600,61,25,37,6.6
rice,groundnut,low_nitrogen,20.5,84,3.23,5814,61,43,33,5.9
potato,tomato,balanced,20.9,82,15.26,1742,53,39,36,6.2
groundnut,potato,low_nitrogen,23.7,44,9.85,1441,64,45,38,6.0
rice,tomato,high_nitrogen,33.4,77,14.95,1517,52,53,23,7.1
groundnut,rice,high_nitrogen,32.3,49,5.02,2521,67,27,28,5.9
wheat,rice,high_nitrogen,33.5,81,4.86,2221,44,28,30,7.3
potato,potato,high_nitrogen,27.4,84,10.11,1494,68,33,28,6.3
maize,tomato,high_nitrogen,26.6,59,14.93,1241,58,21,44,5.7
maize,wheat,low_nitrogen,34.9,59,4.46,2709,67,50,59,6.6
potato,sugarcane,low_nitrogen,21.6,77,29.75,379,69,31,53,5.7
groundnut,wheat,balanced,29.2,73,5.16,2400,78,29,26,6.8
groundnut,potato,low_nitrogen,28.8,47,9.8,1279,67,22,29,6.2
tomato,rice,high_nitrogen,22.5,44,4.87,2183,43,25,20,7.5
maize,maize,high_nitrogen,34.4,68,5.91,1902,59,45,30,7.1
wheat,potato,low_nitrogen,25.6,72,9.91,1474,53,47,49,6.6
groundnut,potato,low_nitrogen,23.7,62,10.05,1383,68,35,27,6.3
sugarcane,groundnut,low_nitrogen,33.4,66,3.3,5385,65,56,34,5.7
tomato,wheat,balanced,26.9,87,4.8,2102,43,43,40,5.6
groundnut,tomato,low_nitrogen,21.4,51,15.13,1796,62,55,20,6.2
cotton,maize,low_nitrogen,24.2,70,5.99,2192,32,55,60,6.8
rice,rice,high_nitrogen,22.6,56,5.25,2582,63,48,34,6.9
wheat,potato,balanced,20.9,87,10.59,1093,54,60,31,6.5
rice,cotton,low_nitrogen,24.0,51,3.88,6344,61,34,47,7.0
potato,tomato,balanced,34.9,43,15.62,1232,56,32,40,6.5
sugarcane,groundnut,balanced,30.9,69,4.17,5309,62,35,36,7.4
potato,groundnut,low_nitrogen,23.9,52,3.79,6055,70,34,58,6.2
sugarcane,maize,high_nitrogen,29.2,50,5.89,1827,55,22,20,6.3
cotton,groundnut,low_nitrogen,33.3,79,3.64,5645,22,29,57,7.2
rice,sugarcane,high_nitrogen,29.2,84,30.04,200,63,40,27,5.8
rice,wheat,balanced,34.7,90,5.29,2031,46,48,45,6.2
potato,tomato,balanced,28.9,82,15.77,1509,68,56,33,6.6
tomato,cotton,balanced,21.5,81,4.75,6931,50,50,29,5.6
wheat,tomato,low_nitrogen,22.7,90,15.29,1470,53,54,42,6.5
sugarcane,potato,low_nitrogen,29.6,55,9.83,1502,58,38,34,6.7
tomato,wheat,low_nitrogen,20.1,47,4.47,2032,59,45,51,7.1
cotton,maize,low_nitrogen,34.7,46,6.08,1748,27,49,55,5.8
cotton,rice,high_nitrogen,25.3,71,4.88,2141,37,35,55,7.2
sugarcane,potato,low_nitrogen,32.4,84,9.96,1350,63,45,24,7.1
tomato,potato,low_nitrogen,34.4,89,9.92,1598,54,50,20,5.7
groundnut,potato,low_nitrogen,22.9,56,9.77,1055,64,37,38,5.9
tomato,groundnut,low_nitrogen,30.3,68,3.44,5718,68,38,45,7.4
sugarcane,rice,low_nitrogen,27.0,42,4.37,1886,47,31,34,7.3
maize,maize,high_nitrogen,33.6,71,5.99,2044,54,50,58,5.8
potato,rice,high_nitrogen,30.9,47,5.25,2598,66,30,49,5.9
potato,wheat,low_nitrogen,27.9,46,4.3,2695,63,41,27,5.6
maize,sugarcane,low_nitrogen,28.8,48,29.78,301,67,20,38,5.7
rice,sugarcane,high_nitrogen,29.2,83,30.19,200,65,59,48,5.8
cotton,tomato,low_nitrogen,31.0,45,15.05,1739,21,30,45,6.9
potato,cotton,low_nitrogen,31.7,47,4.13,6915,52,34,39,7.1
cotton,cotton,high_nitrogen,29.1,53,3.72,6868,34,44,28,6.7
sugarcane,maize,high_nitrogen,23.4,59,6.19,1627,64,34,54,6.2
potato,wheat,high_nitrogen,34.1,53,4.61,2201,51,35,28,6.9
tomato,wheat,balanced,23.7,87,5.04,2420,45,50,53,6.5
rice,maize,low_nitrogen,20.1,43,5.77,1749,56,52,26,6.3
rice,groundnut,low_nitrogen,30.6,64,3.8,5889,63,43,57,5.7
groundnut,sugarcane,balanced,31.9,44,30.32,527,80,20,42,7.4
potato,rice,low_nitrogen,27.7,85,4.28,2347,56,36,54,6.7
potato,rice,high_nitrogen,28.9,57,4.94,2138,63,46,32,7.2
rice,sugarcane,balanced,23.4,82,30.25,355,48,52,56,5.7
cotton,maize,high_nitrogen,25.7,62,6.19,1936,39,41,26,7.3
sugarcane,potato,balanced,24.7,71,10.64,835,53,35,43,6.9
groundnut,sugarcane,low_nitrogen,34.2,81,29.79,200,78,36,51,6.7
sugarcane,maize,low_nitrogen,29.8,83,5.77,1472,67,24,20,7.3
cotton,maize,low_nitrogen,20.1,75,6.19,1827,38,41,27,5.8
rice,potato,low_nitrogen,23.0,73,10.02,1124,43,38,22,6.1
wheat,rice,high_nitrogen,33.7,68,5.04,2290,66,45,60,5.7
sugarcane,rice,high_nitrogen,21.2,66,4.72,1975,63,26,51,7.4
wheat,cotton,high_nitrogen,20.6,64,3.82,6938,51,48,27,6.1
sugarcane,groundnut,low_nitrogen,32.8,57,3.21,5779,59,26,23,6.2
sugarcane,potato,low_nitrogen,22.1,66,9.85,1395,54,30,54,7.4
sugarcane,cotton,balanced,20.4,48,4.72,6834,44,58,57,6.9
wheat,tomato,balanced,27.8,58,15.35,1545,45,30,52,5.5
sugarcane,cotton,high_nitrogen,27.0,56,3.86,6905,49,29,24,5.6
groundnut,potato,low_nitrogen,21.8,42,9.93,1558,87,57,56,6.8
maize,groundnut,low_nitrogen,31.8,72,3.48,5998,52,32,40,6.6
maize,maize,balanced,20.6,64,6.67,1404,64,36,41,7.2
maize,maize,balanced,22.6,73,6.22,1524,61,28,51,7.0
potato,tomato,balanced,29.2,58,15.59,1717,56,46,52,6.4
sugarcane,sugarcane,balanced,31.9,60,30.26,200,51,57,59,7.3
groundnut,groundnut,low_nitrogen,30.1,44,3.35,5321,84,33,31,6.4
maize,maize,balanced,23.2,65,6.67,1521,56,58,54,6.9
groundnut,potato,balanced,31.9,77,10.41,1272,83,39,49,6.4
cotton,sugarcane,low_nitrogen,34.7,67,29.94,391,28,45,47,5.9
rice,groundnut,low_nitrogen,22.0,46,3.55,5879,60,35,46,5.8
rice,sugarcane,high_nitrogen,27.4,86,30.23,629,50,25,53,6.9
rice,rice,high_nitrogen,23.7,83,5.21,2105,63,38,35,7.1
rice,groundnut,low_nitrogen,34.1,86,3.6,5764,49,45,28,7.1
sugarcane,tomato,low_nitrogen,27.8,49,14.97,1654,42,48,23,6.0
sugarcane,tomato,high_nitrogen,28.7,65,14.78,1196,40,22,50,6.5
